ID,Index,LAT,LON,SumD,cluster_index,url1,hash1,angle1,url2,hash2,angle2,url3,hash3,angle3,url4,hash4,angle4,이상한거,
22365474,874,37.56036306,127.0651281,198.6046175,1,"https://map.naver.com/v5/entry/address/14144825.357674051,4517504.671681797,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9A%A9%EB%8B%B5%EB%8F%99%20234,jibun?c=16,0,0,0,dha&p=VjEKCNCzebTf2AmUBwsK9g,-171.85,6.06,80,Float",dha&p=VjEKCNCzebTf2AmUBwsK9g,"-171.85,6.06,80,Float","https://map.naver.com/v5/entry/address/14144825.357674051,4517504.671681797,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9A%A9%EB%8B%B5%EB%8F%99%20234,jibun?c=17.02,0,0,0,dha&p=Y6dCKEZNpDMvsY8HGzx1Dw,-106.33,6.77,80,Float",dha&p=Y6dCKEZNpDMvsY8HGzx1Dw,"-106.33,6.77,80,Float","https://map.naver.com/v5/entry/address/14144825.357674051,4517504.671681797,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9A%A9%EB%8B%B5%EB%8F%99%20234,jibun?c=17.02,0,0,0,dha&p=NSk4c4U-FZF3Ua9-KrS_rA,-17.21,1.33,80,Float",dha&p=NSk4c4U-FZF3Ua9-KrS_rA,"-17.21,1.33,80,Float","https://map.naver.com/v5/entry/address/14144825.357674051,4517504.671681797,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9A%A9%EB%8B%B5%EB%8F%99%20234,jibun?c=16.18,0,0,0,dha&p=-25K5l3BWDubmjSK3FnfEA,-87.47,14.83,80,Float",dha&p=-25K5l3BWDubmjSK3FnfEA,"-87.47,14.83,80,Float",,
21893828,3012,37.56746173,126.8414197,109.3601893,2,"https://map.naver.com/v5/entry/address/14119922.252499867,4518501.576519785,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EB%93%B1%EC%B4%8C%EB%8F%99%20684,jibun?c=16.43,0,0,0,dha&p=gwV1hOcTEk-88NLeOI2e7Q,75.81,15.29,80,Float",dha&p=gwV1hOcTEk-88NLeOI2e7Q,"75.81,15.29,80,Float","https://map.naver.com/v5/entry/address/14119922.252499867,4518501.576519785,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EB%93%B1%EC%B4%8C%EB%8F%99%20684,jibun?c=16.67,0,0,0,dha&p=hbO2wKeItsDgk0TuNZF7FQ,-14.38,19.91,80,Float",dha&p=hbO2wKeItsDgk0TuNZF7FQ,"-14.38,19.91,80,Float","https://map.naver.com/v5/entry/address/14119922.252499867,4518501.576519785,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EB%93%B1%EC%B4%8C%EB%8F%99%20684,jibun?c=16.67,0,0,0,dha&p=q852cbmME0BcXm2OoXRDXQ,46.97,1.49,80,Float",dha&p=q852cbmME0BcXm2OoXRDXQ,"46.97,1.49,80,Float","https://map.naver.com/v5/entry/address/14119922.252499867,4518501.576519785,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EB%93%B1%EC%B4%8C%EB%8F%99%20684,jibun?c=16.67,0,0,0,dha&p=wvojjjWAGXQmOX47QuRyVg,145.78,-3.18,80,Float",dha&p=wvojjjWAGXQmOX47QuRyVg,"145.78,-3.18,80,Float",,
22517527,4144,37.51498792,127.0308994,101.6880441,3,"https://map.naver.com/v5/entry/address/14141015.036219526,4511134.636395672,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%2086-7,jibun?c=17.13,0,0,0,dha&p=QFsXTwhDK52YtE0QKREHeA,48.73,8.51,80,Float",dha&p=QFsXTwhDK52YtE0QKREHeA,"48.73,8.51,80,Float","https://map.naver.com/v5/entry/address/14141015.036219526,4511134.636395672,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%2086-7,jibun?c=16.14,0,0,0,dha&p=p-uPDLF6p0MxiFpfyxS6hA,-140.08,0.57,80,Float",dha&p=p-uPDLF6p0MxiFpfyxS6hA,"-140.08,0.57,80,Float","https://map.naver.com/v5/entry/address/14141015.036219526,4511134.636395672,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%2086-7,jibun?c=15.26,0,0,0,dha&p=rxyHHzw97_kmn8m_qb0SWQ,80.76,3.22,80,Float",dha&p=rxyHHzw97_kmn8m_qb0SWQ,"80.76,3.22,80,Float","https://map.naver.com/v5/entry/address/14141015.036219526,4511134.636395672,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%8F%99%2086-7,jibun?c=16.51,0,0,0,dha&p=p7PybhBtLkjamOC7l67fJQ,-114.93,15.23,80,Float",dha&p=p7PybhBtLkjamOC7l67fJQ,"-114.93,15.23,80,Float",,
22879392,4439,37.56587089,127.0189193,204.8387249,4,"https://map.naver.com/v5/entry/address/14139681.41758788,4518278.157946939,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%ED%99%A9%ED%95%99%EB%8F%99%20738,jibun?c=17.99,0,0,0,dha&p=q8C3J-kDU1UDlAZHr73aAA,-106.61,2.62,80,Float",dha&p=q8C3J-kDU1UDlAZHr73aAA,"-106.61,2.62,80,Float","https://map.naver.com/v5/entry/address/14139681.41758788,4518278.157946939,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%ED%99%A9%ED%95%99%EB%8F%99%20738,jibun?c=17.62,0,0,0,dha&p=0F12QLtoCo2JWeVkmX-FJQ,111.73,-9.75,80,Float",dha&p=0F12QLtoCo2JWeVkmX-FJQ,"111.73,-9.75,80,Float","https://map.naver.com/v5/entry/address/14139681.41758788,4518278.157946939,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%ED%99%A9%ED%95%99%EB%8F%99%20738,jibun?c=17.87,0,0,0,dha&p=On9qXaF-HnEX28Xe8Ydmeg,-124.84,6.82,80,Float",dha&p=On9qXaF-HnEX28Xe8Ydmeg,"-124.84,6.82,80,Float","https://map.naver.com/v5/entry/address/14139681.41758788,4518278.157946939,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%ED%99%A9%ED%95%99%EB%8F%99%20738,jibun?c=17.87,0,0,0,dha&p=69fxJDJIP8LAh8hGdXEQ3g,38.78,2.33,80,Float",dha&p=69fxJDJIP8LAh8hGdXEQ3g,"38.78,2.33,80,Float",,
24305803,5712,37.45592067,126.9075105,177.4323533,5,"https://map.naver.com/v5/entry/address/14127279.446701992,4502848.219653901,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EC%8B%9C%ED%9D%A5%EB%8F%99%20817-29,jibun?c=15.02,0,0,0,dha&p=d4_tPMBsa9zTPrvmCsSUTQ,-4.88,1.16,80,Float",dha&p=d4_tPMBsa9zTPrvmCsSUTQ,"-4.88,1.16,80,Float","https://map.naver.com/v5/entry/address/14127279.446701992,4502848.219653901,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EC%8B%9C%ED%9D%A5%EB%8F%99%20817-29,jibun?c=15.02,0,0,0,dha&p=RKS2kg-EvqosGIXxFQrqBA,116.61,1.97,80,Float",dha&p=RKS2kg-EvqosGIXxFQrqBA,"116.61,1.97,80,Float","https://map.naver.com/v5/entry/address/14127279.446701992,4502848.219653901,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EC%8B%9C%ED%9D%A5%EB%8F%99%20817-29,jibun?c=15.02,0,0,0,dha&p=gJ4dwvnDHTe5lqaPe-C5JA,-93.62,13.56,80,Float",dha&p=gJ4dwvnDHTe5lqaPe-C5JA,"-93.62,13.56,80,Float","https://map.naver.com/v5/entry/address/14127279.446701992,4502848.219653901,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EC%8B%9C%ED%9D%A5%EB%8F%99%20817-29,jibun?c=17.35,0,0,0,dha&p=PrDmMx9hoyzs0ejGXQQFCw,98.25,4.76,80,Float",dha&p=PrDmMx9hoyzs0ejGXQQFCw,"98.25,4.76,80,Float",v,주택가
25320417,6739,37.57191723,127.0723643,248.6051539,6,"https://map.naver.com/v5/entry/address/14145630.887773324,4519127.335147234,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%99%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%9E%A5%EC%95%88%EB%8F%99%20368-1,jibun?c=15.08,0,0,0,dha&p=Ibd20uGcj8I-tY8wyJyKww,89.96,14.86,80,Float",dha&p=Ibd20uGcj8I-tY8wyJyKww,"89.96,14.86,80,Float","https://map.naver.com/v5/entry/address/14145630.887773324,4519127.335147234,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%99%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%9E%A5%EC%95%88%EB%8F%99%20368-1,jibun?c=15.08,0,0,0,dha&p=Ibd20uGcj8I-tY8wyJyKww,89.96,14.86,80,Float",dha&p=Ibd20uGcj8I-tY8wyJyKww,"89.96,14.86,80,Float","https://map.naver.com/v5/entry/address/14145630.887773324,4519127.335147234,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%99%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%9E%A5%EC%95%88%EB%8F%99%20368-1,jibun?c=14.71,0,0,0,dha&p=Gt9r-XfMbmDF8Tpyq3tZBw,-1.11,9.44,80,Float",dha&p=Gt9r-XfMbmDF8Tpyq3tZBw,"-1.11,9.44,80,Float","https://map.naver.com/v5/entry/address/14145630.887773324,4519127.335147234,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%99%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%9E%A5%EC%95%88%EB%8F%99%20368-1,jibun?c=18.33,0,0,0,dha&p=W0PHoitx9fG8TCkxccgBxQ,-68.95,26.74,80,Float",dha&p=W0PHoitx9fG8TCkxccgBxQ,"-68.95,26.74,80,Float",,
25516061,7366,37.56461644,127.0536194,167.6033162,7,"https://map.naver.com/v5/entry/address/14143544.21505035,4518101.985562421,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9A%A9%EB%8B%B5%EB%8F%99%2058-1,jibun?c=18.76,0,0,0,dha&p=dUlDMkd842X8oJwokGE8kA,-119.18,15.89,80,Float",dha&p=dUlDMkd842X8oJwokGE8kA,"-119.18,15.89,80,Float","https://map.naver.com/v5/entry/address/14143544.21505035,4518101.985562421,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9A%A9%EB%8B%B5%EB%8F%99%2058-1,jibun?c=16.21,0,0,0,dha&p=0_x1p2iBsyTL5NkaFKzK6A,43.71,12.44,80,Float",dha&p=0_x1p2iBsyTL5NkaFKzK6A,"43.71,12.44,80,Float","https://map.naver.com/v5/entry/address/14143544.21505035,4518101.985562421,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9A%A9%EB%8B%B5%EB%8F%99%2058-1,jibun?c=15.74,0,0,0,dha&p=cn6RC7e2Ig-gzTDqxbO-ug,-54.91,1.43,80,Float",dha&p=cn6RC7e2Ig-gzTDqxbO-ug,"-54.91,1.43,80,Float","https://map.naver.com/v5/entry/address/14143544.21505035,4518101.985562421,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%9A%A9%EB%8B%B5%EB%8F%99%2058-1,jibun?c=15.86,0,0,0,dha&p=Q3jye-764mxrcCCSaMEmpw,25.89,1.73,80,Float",dha&p=Q3jye-764mxrcCCSaMEmpw,"25.89,1.73,80,Float",,
20734008,9329,37.51793741,127.0212918,197.8796483,8,"https://map.naver.com/v5/entry/address/14139945.523079786,4511548.585801838,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20512-9,jibun?c=17.98,0,0,0,dha&p=rHcc3u5nS2T9w6mXyvwX3Q,167.26,21.17,80,Float",dha&p=rHcc3u5nS2T9w6mXyvwX3Q,"167.26,21.17,80,Float","https://map.naver.com/v5/entry/address/14139945.523079786,4511548.585801838,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20512-9,jibun?c=16.85,0,0,0,dha&p=nyqBCxiw5PeqacMtDJ0Kvg,-173.29,15.68,80,Float",dha&p=nyqBCxiw5PeqacMtDJ0Kvg,"-173.29,15.68,80,Float","https://map.naver.com/v5/entry/address/14139945.523079786,4511548.585801838,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20512-9,jibun?c=16.66,0,0,0,dha&p=CBCjaKAWMZhQzq4KP9tqDQ,-173.1,22.9,80,Float",dha&p=CBCjaKAWMZhQzq4KP9tqDQ,"-173.1,22.9,80,Float","https://map.naver.com/v5/entry/address/14139945.523079786,4511548.585801838,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%82%AC%EB%8F%99%20512-9,jibun?c=15.53,0,0,0,dha&p=AB_6MgyWwp4BSw26073_aA,-149.03,-1.13,80,Float",dha&p=AB_6MgyWwp4BSw26073_aA,"-149.03,-1.13,80,Float",,
20804695,10019,37.53376962,126.9904444,288.6087074,9,"https://map.naver.com/v5/entry/address/14136511.60621949,4513770.854360092,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EC%9D%B4%ED%83%9C%EC%9B%90%EB%8F%99%2059-12,jibun?c=18.59,0,0,0,dha&p=gsMnAVuizqVFdrsDCkc3bQ,-127.72,12.67,80,Float",dha&p=gsMnAVuizqVFdrsDCkc3bQ,"-127.72,12.67,80,Float","https://map.naver.com/v5/entry/address/14136511.60621949,4513770.854360092,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EC%9D%B4%ED%83%9C%EC%9B%90%EB%8F%99%2059-12,jibun?c=18.72,0,0,0,dha&p=Z5JcH6XYVvwNDC7M-vmqFQ,146.43,-20.97,80,Float",dha&p=Z5JcH6XYVvwNDC7M-vmqFQ,"146.43,-20.97,80,Float","https://map.naver.com/v5/entry/address/14136511.60621949,4513770.854360092,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EC%9D%B4%ED%83%9C%EC%9B%90%EB%8F%99%2059-12,jibun?c=15.84,0,0,0,dha&p=lO_EDSIiKtanXvHgAknqfA,2.96,1.54,80,Float",dha&p=lO_EDSIiKtanXvHgAknqfA,"2.96,1.54,80,Float","https://map.naver.com/v5/entry/address/14136511.60621949,4513770.854360092,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EC%9D%B4%ED%83%9C%EC%9B%90%EB%8F%99%2059-12,jibun?c=16.83,0,0,0,dha&p=sKM_bBVnOHuL-farVG7EGg,-96.94,3.52,80,Float",dha&p=sKM_bBVnOHuL-farVG7EGg,"-96.94,3.52,80,Float",,
20848035,10129,37.55017854,127.1446109,189.1216291,10,"https://map.naver.com/v5/entry/address/14153673.342496868,4516074.570016364,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%AA%85%EC%9D%BC%EB%8F%99%20325-17,jibun?c=18.4,0,0,0,dha&p=d05H8GiAwNOGRnnm-unnfQ,-169.1,-20.89,80,Float",dha&p=d05H8GiAwNOGRnnm-unnfQ,"-169.1,-20.89,80,Float","https://map.naver.com/v5/entry/address/14153673.342496868,4516074.570016364,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%AA%85%EC%9D%BC%EB%8F%99%20325-17,jibun?c=16.49,0,0,0,dha&p=iSaYHTZfQbQ5KAg_gN4Mrw,-45.97,12.97,80,Float",dha&p=iSaYHTZfQbQ5KAg_gN4Mrw,"-45.97,12.97,80,Float","https://map.naver.com/v5/entry/address/14153673.342496868,4516074.570016364,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%AA%85%EC%9D%BC%EB%8F%99%20325-17,jibun?c=16.49,0,0,0,dha&p=YF5Itz2AwxbcNLTvxHIpMw,151.03,15.79,80,Float",dha&p=YF5Itz2AwxbcNLTvxHIpMw,"151.03,15.79,80,Float","https://map.naver.com/v5/entry/address/14153673.342496868,4516074.570016364,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%8F%99%EA%B5%AC%20%EB%AA%85%EC%9D%BC%EB%8F%99%20325-17,jibun?c=16.23,0,0,0,dha&p=Q_A0EQTuJz3hOrgbPAQ6Cw,157.02,3.7,80,Float",dha&p=Q_A0EQTuJz3hOrgbPAQ6Cw,"157.02,3.7,80,Float",,
21866248,11813,37.49595708,126.9077643,116.9950602,11,"https://map.naver.com/v5/entry/address/14127307.69958875,4508464.125517927,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%8C%80%EB%A6%BC%EB%8F%99%20910-4,jibun?c=14.57,0,0,0,dha&p=-c64xPMGTBQZOq9fgVYURg,-49.12,19.54,80,Float",dha&p=-c64xPMGTBQZOq9fgVYURg,"-49.12,19.54,80,Float","https://map.naver.com/v5/entry/address/14127307.69958875,4508464.125517927,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%8C%80%EB%A6%BC%EB%8F%99%20910-4,jibun?c=17.49,0,0,0,dha&p=UqEnU69T2BRCeVLu6O3sOQ,117.24,9.89,80,Float",dha&p=UqEnU69T2BRCeVLu6O3sOQ,"117.24,9.89,80,Float","https://map.naver.com/v5/entry/address/14127307.69958875,4508464.125517927,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%8C%80%EB%A6%BC%EB%8F%99%20910-4,jibun?c=15.72,0,0,0,dha&p=qw0yrd1uLBEzPozC9PsMig,75.15,10.39,80,Float",dha&p=qw0yrd1uLBEzPozC9PsMig,"75.15,10.39,80,Float","https://map.naver.com/v5/entry/address/14127307.69958875,4508464.125517927,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%8C%80%EB%A6%BC%EB%8F%99%20910-4,jibun?c=14.83,0,0,0,dha&p=hW_B8hG-Pxpzp_LkU1SiKg,-46.66,7.79,80,Float",dha&p=hW_B8hG-Pxpzp_LkU1SiKg,"-46.66,7.79,80,Float",,
22448698,14445,37.53792946,126.9679614,104.4450281,12,"https://map.naver.com/v5/entry/address/14134008.81010798,4514354.823406767,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EB%AC%B8%EB%B0%B0%EB%8F%99%2040-31,jibun?c=18,0,0,0,dha&p=4jifinUyVsLO09_2GbU5FQ,131.11,25.92,80,Float",dha&p=4jifinUyVsLO09_2GbU5FQ,"131.11,25.92,80,Float","https://map.naver.com/v5/entry/address/14134008.81010798,4514354.823406767,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EB%AC%B8%EB%B0%B0%EB%8F%99%2040-31,jibun?c=15.75,0,0,0,dha&p=ywoK9szOONNft2KyXZgb2A,-95.62,19.91,80,Float",dha&p=ywoK9szOONNft2KyXZgb2A,"-95.62,19.91,80,Float","https://map.naver.com/v5/entry/address/14134008.81010798,4514354.823406767,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EB%AC%B8%EB%B0%B0%EB%8F%99%2040-31,jibun?c=14.99,0,0,0,dha&p=WhRYn5MlIRDMMYS2CNc6hg,-5.94,5.16,80,Float",dha&p=WhRYn5MlIRDMMYS2CNc6hg,"-5.94,5.16,80,Float","https://map.naver.com/v5/entry/address/14134008.81010798,4514354.823406767,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EB%AC%B8%EB%B0%B0%EB%8F%99%2040-31,jibun?c=15.84,0,0,0,dha&p=KOwYyA8McMFxaHjAFqMddg,93.59,3.73,80,Float",dha&p=KOwYyA8McMFxaHjAFqMddg,"93.59,3.73,80,Float",,
22557301,14913,37.5128462,126.9439875,173.5394923,13,"https://map.naver.com/v5/entry/address/14131340.04776765,4510834.064608173,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20116-2,jibun?c=17.48,0,0,0,dha&p=UjZqXW_tJ-lJSfR7ZBUSYw,13.54,10.01,80,Float",dha&p=UjZqXW_tJ-lJSfR7ZBUSYw,"13.54,10.01,80,Float","https://map.naver.com/v5/entry/address/14131340.04776765,4510834.064608173,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20116-2,jibun?c=17.07,0,0,0,dha&p=Z-z9SI8FD7BpJyyzterMfA,110.44,19.06,80,Float",dha&p=Z-z9SI8FD7BpJyyzterMfA,"110.44,19.06,80,Float","https://map.naver.com/v5/entry/address/14131340.04776765,4510834.064608173,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20116-2,jibun?c=16.61,0,0,0,dha&p=Gj8LDTx1PQ3vZnm0Xh0IYw,9.07,26.9,80,Float",dha&p=Gj8LDTx1PQ3vZnm0Xh0IYw,"9.07,26.9,80,Float","https://map.naver.com/v5/entry/address/14131340.04776765,4510834.064608173,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%85%B8%EB%9F%89%EC%A7%84%EB%8F%99%20116-2,jibun?c=16.44,0,0,0,dha&p=OApWEePmkIzlCWmkVqcSpQ,-133.16,7.17,80,Float",dha&p=OApWEePmkIzlCWmkVqcSpQ,"-133.16,7.17,80,Float",,
23332523,16537,37.65888022,127.0490678,81.88592757,14,"https://map.naver.com/v5/entry/address/14143037.533256058,4531348.474563856,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EC%B0%BD%EB%8F%99%20808,jibun?c=14.92,0,0,0,dha&p=XPH5SWWi7Nxo787xahLxQw,97.75,27.29,80,Float",dha&p=XPH5SWWi7Nxo787xahLxQw,"97.75,27.29,80,Float","https://map.naver.com/v5/entry/address/14143037.533256058,4531348.474563856,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EC%B0%BD%EB%8F%99%20808,jibun?c=15.24,0,0,0,dha&p=zi2DsVGY8oMQ9oooLU3iyg,-139.61,23.9,80,Float",dha&p=zi2DsVGY8oMQ9oooLU3iyg,"-139.61,23.9,80,Float","https://map.naver.com/v5/entry/address/14143037.533256058,4531348.474563856,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EC%B0%BD%EB%8F%99%20808,jibun?c=15.79,0,0,0,dha&p=J5SLM7wALYtGPHZgMF_h5Q,23.98,5.87,80,Float",dha&p=J5SLM7wALYtGPHZgMF_h5Q,"23.98,5.87,80,Float","https://map.naver.com/v5/entry/address/14143037.533256058,4531348.474563856,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EC%B0%BD%EB%8F%99%20808,jibun?c=16.79,0,0,0,dha&p=cEOAhuy8ckmSdO72ydOXqg,80.5,-3.44,80,Float",dha&p=cEOAhuy8ckmSdO72ydOXqg,"80.5,-3.44,80,Float",,
